Country name,Code,Lat,Long,Data,Final figures
Algeria,DZ,28.033886,1.659626,0.23654767,23.65476703
Angola,AO,-11.202692,17.873887,0.389715974,38.97159737
Benin,BJ,9.30769,2.315834,0.37099561,37.09956098
Botswana,BW,-22.328474,24.684866,0.281513599,28.1513599
Burkina Faso,BF,12.238333,-1.561593,0.373010143,37.30101425
Burundi,BI,-3.373056,29.918886,0.783929178,78.39291785
Cameroon,CM,7.369722,12.354722,0.250759465,25.07594651
Cape Verde,CV,16.002082,-24.013197,0.43538595,43.53859496
Central African Republic,CF,6.611111,20.939444,0.292686013,29.26860134
Chad,TD,15.454166,18.732207,0.020721867,2.072186712
Comoros,KM,-11.875001,43.872219,0.117925123,11.79251226
Congo,CG,-0.228021,15.827659,0.214806386,21.48063856
Cote d'Ivoire,CI,7.539989,-5.54708,0.180813014,18.08130137
Democratic Republic of the Congo,CD,-4.038333,21.758664,0.459351719,45.93517195
Egypt,EG,26.820553,30.802498,0.445547087,44.55470873
Equatorial Guinea,GQ,1.650801,10.267895,0.16441931,16.441931
Eritrea,ER,15.179384,39.782334,0.580851472,58.08514717
Ethiopia,ET,9.145,40.489673,0.582040087,58.20400866
Gabon,GA,-0.803689,11.609444,0.057069522,5.706952195
Gambia,GM,13.443182,-15.310139,0.434430484,43.44304841
Ghana,GH,7.946527,-1.023194,0.472860842,47.28608419
Guinea,GN,9.945587,-9.696645,0.214853483,21.48534829
Guinea-Bissau,GW,11.803749,-15.180413,0.465544121,46.55441208
Kenya,KE,-0.023559,37.906193,0.376061288,37.60612881
Lesotho,LS,-29.609988,28.233608,0.553845585,55.38455846
Liberia,LR,6.428055,-9.429499,0.502690551,50.26905512
Madagascar,MG,-18.766947,46.869107,0.475454191,47.54541907
Malawi,MW,-13.254308,34.301525,0.610003013,61.0003013
Mali,ML,17.570692,-3.996166,0.349213873,34.92138726
Mauritania,MR,21.00789,-10.940835,0.374761575,37.47615754
Morocco,MA,31.791702,-7.09262,0.32025954,32.02595398
Mozambique,MZ,-18.665695,35.529562,0.368824337,36.8824337
Namibia,NA,-22.95764,18.49041,0.408723117,40.87231167
Niger,NE,17.607789,8.081666,0.133803908,13.38039076
Nigeria,NG,9.081999,8.675277,0.200533065,20.05330653
Rwanda,RW,-1.940278,29.873888,0.848216509,84.82165094
Sao Tome and Principe,ST,0.18636,6.613081,0.647027907,64.70279069
Senegal,SN,14.497401,-14.452362,0.371926684,37.19266839
Sierra Leone,SL,8.460555,-11.779889,0.430855324,43.08553237
Somalia,SO,5.152149,46.199616,0.100674668,10.06746677
South Africa,ZA,-30.559482,22.937506,0.237778865,23.77788649
Sudan,SD,12.862807,30.217636,0.496296946,49.62969458
Swaziland,SZ,-26.522503,31.465866,0.379207127,37.92071269
Togo,TG,8.619543,0.824782,0.434297948,43.4297948
Tunisia,TN,33.886917,9.537499,0.102519608,10.25196077
Uganda,UG,1.373333,32.290275,0.643474291,64.34742915
United Republic of Tanzania,TZ,-6.369028,34.888822,0.526388204,52.63882036
Zambia,ZM,-13.133897,27.849332,0.571215473,57.12154725
Zimbabwe,ZW,-19.015438,29.154857,0.39615444,39.61544397