World,Code,Year,Death per 1000 
World,OWID_WRL,1950,22.3391
World,OWID_WRL,1951,22.0441
World,OWID_WRL,1952,21.483
World,OWID_WRL,1953,20.9797
World,OWID_WRL,1954,20.5342
World,OWID_WRL,1955,20.1455
World,OWID_WRL,1956,19.8096
World,OWID_WRL,1957,19.5209
World,OWID_WRL,1958,19.2687
World,OWID_WRL,1959,19.0348
World,OWID_WRL,1960,18.7976
World,OWID_WRL,1961,18.5355
World,OWID_WRL,1962,18.2273
World,OWID_WRL,1963,17.8604
World,OWID_WRL,1964,17.4344
World,OWID_WRL,1965,16.9596
World,OWID_WRL,1966,16.4567
World,OWID_WRL,1967,15.9545
World,OWID_WRL,1968,15.4773
World,OWID_WRL,1969,15.0365
World,OWID_WRL,1970,14.639
World,OWID_WRL,1971,14.2846
World,OWID_WRL,1972,13.9607
World,OWID_WRL,1973,13.6558
World,OWID_WRL,1974,13.3644
World,OWID_WRL,1975,13.0802
World,OWID_WRL,1976,12.7971
World,OWID_WRL,1977,12.5121
World,OWID_WRL,1978,12.2233
World,OWID_WRL,1979,11.9298
World,OWID_WRL,1980,11.6308
World,OWID_WRL,1981,11.3269
World,OWID_WRL,1982,11.0236
World,OWID_WRL,1983,10.7271
World,OWID_WRL,1984,10.4425
World,OWID_WRL,1985,10.1788
World,OWID_WRL,1986,9.9453
World,OWID_WRL,1987,9.7447
World,OWID_WRL,1988,9.5759
World,OWID_WRL,1989,9.4355
World,OWID_WRL,1990,9.316
World,OWID_WRL,1991,9.2078
World,OWID_WRL,1992,9.0988
World,OWID_WRL,1993,8.9786
World,OWID_WRL,1994,8.8409
World,OWID_WRL,1995,8.6812
World,OWID_WRL,1996,8.4989
World,OWID_WRL,1997,8.2991
World,OWID_WRL,1998,8.0864
World,OWID_WRL,1999,7.8623
World,OWID_WRL,2000,7.6273
World,OWID_WRL,2001,7.3817
World,OWID_WRL,2002,7.127
World,OWID_WRL,2003,6.8659
World,OWID_WRL,2004,6.6019
World,OWID_WRL,2005,6.3382
World,OWID_WRL,2006,6.0773
World,OWID_WRL,2007,5.8218
World,OWID_WRL,2008,5.5745
World,OWID_WRL,2009,5.3388
World,OWID_WRL,2010,5.1177
World,OWID_WRL,2011,4.9136
World,OWID_WRL,2012,4.7261
World,OWID_WRL,2013,4.555
World,OWID_WRL,2014,4.4002
World,OWID_WRL,2015,4.2615
World,OWID_WRL,2016,4.1385
World,OWID_WRL,2017,4.0289